Name,Description,Notes,Area,Cost per Hour
"Level M2, Zone  4, South Tower AHAC",,"level:M2, tenant:, zone:4",,35
"Level 1, Zone  1, South Tower AHAC",,"level:1, tenant:, zone:1",,35
"Level 1, Zone  2, South Tower AHAC",,"level:1, tenant:, zone:2",,35
"Level 1, Zone  3, South Tower AHAC",,"level:1, tenant:, zone:3",,35
"Level 1, Zone  4, South Tower AHAC",,"level:1, tenant:, zone:4",,35
"Architecture, Level 2, Zone  1, South Tower AHAC",,"level:2, tenant:Architecture, zone:1",234.5,35
"Middletons, Level 2, Zone  2, South Tower AHAC",,"level:2, tenant:Middletons, zone:2",170,35
"Middletons, Level 2, Zone  3, South Tower AHAC",,"level:2, tenant:Middletons, zone:3",331,35
"Level 2, Zone  4, South Tower AHAC",,"level:2, tenant:, zone:4",0,35
"Telstra, Level 3, Zone  1, South Tower AHAC",,"level:3, tenant:Telstra, zone:1",203,35
"Telstra, Level 3, Zone  2, South Tower AHAC",,"level:3, tenant:Telstra, zone:2",203,35
"Telstra, Level 3, Zone  3, South Tower AHAC",,"level:3, tenant:Telstra, zone:3",203,35
"Telstra, Level 3, Zone  4, South Tower AHAC",,"level:3, tenant:Telstra, zone:4",203,35
"Telstra, Level 4, Zone  1, South Tower AHAC",,"level:4, tenant:Telstra, zone:1",205.2,35
"Telstra, Level 4, Zone  2, South Tower AHAC",,"level:4, tenant:Telstra, zone:2",205.2,35
"Telstra, Level 4, Zone  3, South Tower AHAC",,"level:4, tenant:Telstra, zone:3",205.2,35
"Telstra, Level 4, Zone  4, South Tower AHAC",,"level:4, tenant:Telstra, zone:4",205.2,35
"Telstra, Level 5, Zone  1, South Tower AHAC",,"level:5, tenant:Telstra, zone:1",205.2,35
"Telstra, Level 5, Zone  2, South Tower AHAC",,"level:5, tenant:Telstra, zone:2",205.2,35
"Telstra, Level 5, Zone  3, South Tower AHAC",,"level:5, tenant:Telstra, zone:3",205.2,35
"Telstra, Level 5, Zone  4, South Tower AHAC",,"level:5, tenant:Telstra, zone:4",205.2,35
"Telstra, Level 6, Zone  1, South Tower AHAC",,"level:6, tenant:Telstra, zone:1",205.2,35
"Telstra, Level 6, Zone  2, South Tower AHAC",,"level:6, tenant:Telstra, zone:2",205.2,35
"Telstra, Level 6, Zone  3, South Tower AHAC",,"level:6, tenant:Telstra, zone:3",205.2,35
"Telstra, Level 6, Zone  4, South Tower AHAC",,"level:6, tenant:Telstra, zone:4",205.2,35
"Bird Cameron, Level 7, Zone  1, South Tower AHAC",,"level:7, tenant:Bird Cameron, zone:1",273.6,35
"Randstat, Level 7, Zone  2, South Tower AHAC",,"level:7, tenant:Randstat, zone:2",273.6,35
"Randstat, Level 7, Zone  3, South Tower AHAC",,"level:7, tenant:Randstat, zone:3",273.6,35
"Level 7, Zone  4, South Tower AHAC",,"level:7, tenant:, zone:4",0,35
"Bird Cameron, Level 8, Zone  1, South Tower AHAC",,"level:8, tenant:Bird Cameron, zone:1",205.2,35
"Bird Cameron, Level 8, Zone  2, South Tower AHAC",,"level:8, tenant:Bird Cameron, zone:2",205.2,35
"Bird Cameron, Level 8, Zone  3, South Tower AHAC",,"level:8, tenant:Bird Cameron, zone:3",205.2,35
"Bird Cameron, Level 8, Zone  4, South Tower AHAC",,"level:8, tenant:Bird Cameron, zone:4",205.2,35
"Telstra, Level 9, Zone  1, South Tower AHAC",,"level:9, tenant:Telstra, zone:1",205.2,35
"Telstra, Level 9, Zone  2, South Tower AHAC",,"level:9, tenant:Telstra, zone:2",205.2,35
"Telstra, Level 9, Zone  3, South Tower AHAC",,"level:9, tenant:Telstra, zone:3",205.2,35
"Telstra, Level 9, Zone  4, South Tower AHAC",,"level:9, tenant:Telstra, zone:4",205.2,35
